Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;Points;Day in trending
74;When I Was Your Man;Bruno Mars;29/01/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;127;148
171;Why'd You Only Call Me When You're High?;Arctic Monkeys;29/01/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;30;120
107;Without Me;Eminem;29/01/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;94;149
192;WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1;TWISTED, Oliver Tree;29/01/2023;0.604;0.601;-7.887.000;0.063;0.150;0.001;0.156;9;33
11;Yandel 150;Yandel, Feid;29/01/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;190;146
111;Yellow;Coldplay;29/01/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;90;149
56;10:35;Tiësto, Tate McRae;28/01/2023;0.696;0.793;-5.733.000;0.097;0.068;0.000;0.698;145;120
101;505;Arctic Monkeys;28/01/2023;0.520;0.852;-5.866.000;0.054;0.002;0.000;0.234;100;149
117;About Damn Time;Lizzo;28/01/2023;0.836;0.743;-6.305.000;0.065;0.097;0.000;0.723;84;66
196;After Dark;Mr.Kitty;28/01/2023;0.578;0.600;-10.491.000;0.032;0.068;0.417;0.039;5;38
178;AHORA QUÉ;Quevedo;28/01/2023;0.447;0.765;-5.457.000;0.094;0.212;0.000;0.542;23;11
39;AMG;Natanael Cano, Peso Pluma, Gabito Ballesteros;28/01/2023;0.772;0.730;-6.657.000;0.097;0.152;0.000;0.786;162;144
25;Another Love;Tom Odell;28/01/2023;0.442;0.538;-8.550;0.045;0.717;0.000;0.139;176;149
106;ANTIFRAGILE;LE SSERAFIM;28/01/2023;0.882;0.797;-3.299.000;0.082;0.082;0.000;0.824;95;63
11;Anti-Hero;Taylor Swift;28/01/2023;0.637;0.643;-6.571.000;0.052;0.130;0.000;0.533;190;149
154;Apocalypse;Cigarettes After Sex;28/01/2023;0.369;0.467;-9.018.000;0.027;0.019;0.460;0.174;47;148
6;As It Was;Harry Styles;28/01/2023;0.520;0.731;-5.338.000;0.056;0.342;0.001;0.662;195;149
53;Bad Habit;Steve Lacy;28/01/2023;0.686;0.494;-7.093.000;0.036;0.613;0.000;0.700;148;149
188;Bad Habits;Ed Sheeran;28/01/2023;0.807;0.893;-3.745.000;0.035;0.045;0.000;0.537;13;19
23;Bebe Dame;Fuerza Regida, Grupo Frontera;28/01/2023;0.529;0.602;-4.629.000;0.046;0.299;0.000;0.756;178;149
116;Believer;Imagine Dragons;28/01/2023;0.776;0.780;-4.374.000;0.128;0.062;0.000;0.666;85;149
149;"Besharam Rang (From ""Pathaan"")";Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar;28/01/2023;0.773;0.795;-5.537.000;0.041;0.059;0.002;0.649;52;16
94;Besos Moja2;Wisin & Yandel, ROSALÍA;28/01/2023;0.736;0.727;-4.642.000;0.057;0.058;0.000;0.644;107;68
192;Billete Grande (En Vivo);Fuerza Regida, Edgardo Nuñez;28/01/2023;0.751;0.601;-5.912.000;0.083;0.533;0.000;0.560;9;12
136;Blank Space;Taylor Swift;28/01/2023;0.760;0.703;-5.412.000;0.054;0.103;0.000;0.570;65;148
65;Blinding Lights;The Weeknd;28/01/2023;0.514;0.730;-5.934.000;0.060;0.001;0.000;0.334;136;149
60;Bloody Mary;Lady Gaga;28/01/2023;0.591;0.637;-6.365.000;0.030;0.011;0.000;0.432;141;77
71;Bombonzinho - Ao Vivo;Israel & Rodolffo, A Castela;28/01/2023;0.651;0.947;-3.669.000;0.054;0.305;0.000;0.722;130;79
40;Bones;Imagine Dragons;28/01/2023;0.772;0.750;-3.670;0.046;0.020;0.000;0.587;161;149
73;CAIRO;KAROL G, Ovy On The Drums;28/01/2023;0.951;0.692;-4.038.000;0.312;0.472;0.000;0.431;128;105
135;Call Out My me;The Weeknd;28/01/2023;0.461;0.593;-4.954.000;0.036;0.170;0.000;0.175;66;119
105;Calm Down;Rema;28/01/2023;0.814;0.789;-6.290;0.041;0.365;0.001;0.842;96;77
9;Calm Down (with Selena Gomez);Rema, Selena Gomez;28/01/2023;0.801;0.806;-5.206.000;0.038;0.382;0.001;0.802;192;149
141;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;28/01/2023;0.633;0.927;-4.468.000;0.084;0.027;0.000;0.880;60;132
146;Ch y la Pizza;Fuerza Regida, Natanael Cano;28/01/2023;0.628;0.668;-2.722.000;0.117;0.329;0.000;0.845;55;125
61;CHORRITO PA LAS ANIMAS;Feid;28/01/2023;0.743;0.831;-4.042.000;0.058;0.114;0.000;0.609;140;148
69;Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;28/01/2023;0.795;0.800;-6.320;0.031;0.035;0.000;0.934;132;149
180;Counting Stars;OneRepublic;28/01/2023;0.664;0.705;-4.972.000;0.038;0.065;0.000;0.477;21;148
4;Creepin' (with The Weeknd & 21 Savage);Metro Boomin, The Weeknd, 21 Savage;28/01/2023;0.715;0.620;-6.005.000;0.048;0.417;0.000;0.172;197;149
46;CUFF IT;Beyoncé;28/01/2023;0.780;0.689;-5.668.000;0.141;0.037;0.000;0.642;155;145
91;Dandelions;Ruth B.;28/01/2023;0.609;0.692;-2.958.000;0.026;0.016;0.000;0.454;110;149
170;Dark Red;Steve Lacy;28/01/2023;0.603;0.784;-4.023.000;0.062;0.446;0.000;0.769;31;101
38;DESPECHÁ;ROSALÍA;28/01/2023;0.914;0.622;-6.538.000;0.089;0.146;0.000;0.770;163;142
173;Devil by the Window;TOMORROW X TOGETHER;28/01/2023;0.536;0.596;-5.799.000;0.098;0.059;0.000;0.643;28;2
19;Die For You;The Weeknd;28/01/2023;0.586;0.525;-7.163.000;0.062;0.111;0.000;0.508;182;181
21;Ditto;NewJeans;28/01/2023;0.814;0.641;-5.957.000;0.111;0.027;0.000;0.183;180;145
155;Do I Wanna Know?;Arctic Monkeys;28/01/2023;0.548;0.532;-7.596.000;0.032;0.186;0.000;0.405;46;139
179;Doja;Central Cee;28/01/2023;0.911;0.573;-7.430;0.288;0.380;0.000;0.972;22;26
199;Don't Blame Me;Taylor Swift;28/01/2023;0.615;0.534;-6.719.000;0.039;0.106;0.000;0.193;2;70
158;Dream On;Aerosmith;28/01/2023;0.393;0.433;-10.045.000;0.026;0.390;0.000;0.238;43;20
152;Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];Jung Kook, BTS, FIFA Sound;28/01/2023;0.710;0.879;-4.218.000;0.042;0.158;0.001;0.341;49;44
130;Easy On Me;Adele;28/01/2023;0.604;0.366;-7.519.000;0.028;0.578;0.000;0.130;71;148
63;Efecto;Bad Bunny;28/01/2023;0.801;0.475;-8.797.000;0.052;0.141;0.000;0.234;138;149
183;El Gavilán;Luis R Conriquez, Tony Aguirre, Peso Pluma;28/01/2023;0.724;0.684;-4.413.000;0.071;0.144;0.004;0.729;18;25
134;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, JID, Arcane, League of Legends;28/01/2023;0.728;0.783;-4.424.000;0.266;0.237;0.000;0.555;67;96
12;Escapism.;RAYE, 070 Shake;28/01/2023;0.538;0.742;-5.355.000;0.114;0.138;0.000;0.250;189;149
120;Escapism. - Sped Up;RAYE, 070 Shake;28/01/2023;0.435;0.768;-5.352.000;0.201;0.086;0.000;0.378;81;44
102;Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Ferndez;28/01/2023;0.636;0.909;-3.685.000;0.044;0.149;0.000;0.610;99;29
197;Every Breath You Take;The Police;28/01/2023;0.820;0.452;-9.796.000;0.035;0.543;0.003;0.740;4;48
161;Everybody Wants To Rule The World;Tears For Fears;28/01/2023;0.645;0.795;-12.095.000;0.053;0.347;0.004;0.535;40;105
172;Evoque Prata;MC MENOR HR, MC MENOR SG, DJ ESCOBAR;28/01/2023;0.872;0.519;-4.467.000;0.244;0.306;0.000;0.520;29;22
34;Feliz Cumpleaños Ferxxo;Feid;28/01/2023;0.865;0.573;-5.501.000;0.068;0.086;0.000;0.563;167;149
41;Fin de Semana;Oscar Maydon, Junior H;28/01/2023;0.699;0.541;-4.943.000;0.083;0.063;0.000;0.365;160;134
1;Flowers;Miley Cyrus;28/01/2023;0.707;0.681;-4.325.000;0.067;0.063;0.000;0.646;200;137
171;Gangsta's Paradise;Coolio, L.V.;28/01/2023;0.647;0.514;-10.050;0.059;0.066;0.000;0.386;30;97
176;Gatita;Bellakath;28/01/2023;0.895;0.847;-5.250;0.052;0.160;0.223;0.735;25;25
44;Gato de Noche;Ñengo Flow, Bad Bunny;28/01/2023;0.892;0.662;-3.894.000;0.162;0.169;0.000;0.607;157;126
168;Ghost;Justin Bieber;28/01/2023;0.601;0.741;-5.569.000;0.048;0.185;0.000;0.441;33;149
77;Glimpse of Us;Joji;28/01/2023;0.440;0.317;-9.258.000;0.053;0.891;0.000;0.268;124;145
18;golden hour;JVKE;28/01/2023;0.515;0.593;-4.801.000;0.032;0.653;0.162;0.153;183;149
200;Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo;Guilherme & Benuto, Hugo & Guilherme;28/01/2023;0.714;0.748;-4.605.000;0.068;0.590;0.000;0.698;1;7
193;Heart To Heart;Mac DeMarco;28/01/2023;0.901;0.136;-16.127.000;0.102;0.667;0.354;0.643;8;78
66;Heat Waves;Glass Animals;28/01/2023;0.761;0.525;-6.900;0.094;0.440;0.000;0.531;135;149
16;Here With Me;d4vd;28/01/2023;0.574;0.469;-8.209.000;0.025;0.534;0.000;0.288;185;149
15;Hey Mor;Ozuna, Feid;28/01/2023;0.901;0.589;-6.713.000;0.289;0.003;0.000;0.399;186;149
74;Hey, Mickey!;Baby Tate;28/01/2023;0.912;0.507;-11.952.000;0.059;0.579;0.000;0.725;127;20
186;Hips Don't Lie (feat. Wyclef Jean);Shakira;28/01/2023;0.778;0.824;-5.892.000;0.071;0.284;0.000;0.758;15;10
186;Hips Don't Lie (feat. Wyclef Jean);Shakira, Wyclef Jean;28/01/2023;0.778;0.824;-5.892.000;0.071;0.284;0.000;0.758;15;10
156;How Do I Say Goodbye;Dean Lewis;28/01/2023;0.400;0.641;-6.303.000;0.067;0.214;0.000;0.393;45;33
104;Hype Boy;NewJeans;28/01/2023;0.593;0.935;-3.430;0.225;0.268;0.000;0.783;97;84
20;I Ain't Worried;OneRepublic;28/01/2023;0.704;0.797;-5.927.000;0.048;0.083;0.001;0.825;181;149
124;I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;28/01/2023;0.733;0.670;-6.009.000;0.075;0.121;0.000;0.472;77;81
166;I Love You So;The Walters;28/01/2023;0.575;0.648;-4.891.000;0.036;0.583;0.000;0.466;35;106
33;I Wanna Be Yours;Arctic Monkeys;28/01/2023;0.464;0.417;-9.345.000;0.026;0.136;0.022;0.479;168;149
83;I Was Never There;The Weeknd, Gesaffelstein;28/01/2023;0.323;0.737;-4.008.000;0.034;0.142;0.000;0.155;118;140
7;I'm Good (Blue);David Guetta, Bebe Rexha;28/01/2023;0.561;0.965;-3.673.000;0.034;0.004;0.000;0.304;194;149
62;I'm Not Here To Make Friends;Sam Smith, Calvin Harris Jessie Reyez;28/01/2023;0.698;0.895;-4.439.000;0.063;0.172;0.000;0.838;139;27
187;INDUSTRY BABY (feat. Jack Harlow);Lil Nas X, Jack Harlow;28/01/2023;0.741;0.691;-7.395.000;0.067;0.022;0.000;0.892;14;40
118;Jhoome Jo Pathaan;Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar;28/01/2023;0.817;0.738;-7.639.000;0.075;0.096;0.000;0.616;83;17
126;Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;28/01/2023;0.529;0.673;-4.711.000;0.175;0.000;0.000;0.366;75;145
50;Just Wan Rock;Lil Uzi Vert;28/01/2023;0.486;0.545;-7.924.000;0.034;0.065;0.005;0.039;151;120
3;Kill Bill;SZA;28/01/2023;0.644;0.735;-5.747.000;0.039;0.052;0.144;0.418;198;149
138;Komet;Udo Lindenberg, Apache 207;28/01/2023;0.550;0.500;-5.779.000;0.045;0.285;0.000;0.351;63;16
8;La Bachata;Manuel Turizo;28/01/2023;0.835;0.679;-5.329.000;0.036;0.583;0.000;0.850;193;149
162;LA CANCIÓN;J Balvin, Bad Bunny;28/01/2023;0.754;0.646;-5.795.000;0.317;0.152;0.000;0.429;39;88
131;LA INOCENTE;Mora, Feid;28/01/2023;0.757;0.789;-3.460;0.058;0.307;0.000;0.464;70;118
13;La Jumpa;Arcángel, Bad Bunny;28/01/2023;0.887;0.234;-14.520;0.178;0.111;0.670;0.197;188;149
93;Late Night Talking;Harry Styles;28/01/2023;0.714;0.728;-4.595.000;0.047;0.298;0.000;0.901;108;121
70;Lavender Haze;Taylor Swift;28/01/2023;0.733;0.436;-10.489.000;0.080;0.258;0.001;0.098;131;149
30;Leão;Marília Mendonça;28/01/2023;0.743;0.865;-3.897.000;0.032;0.449;0.000;0.794;171;114
133;Left and Right (Feat. Jung Kook of BTS);Charlie Puth, Jung Kook, BTS;28/01/2023;0.881;0.592;-4.898.000;0.032;0.619;0.000;0.719;68;108
29;LET GO;Central Cee;28/01/2023;0.735;0.449;-9.933.000;0.383;0.859;0.000;0.514;172;90
147;Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;28/01/2023;0.247;0.299;-6.083.000;0.032;0.899;0.000;0.172;54;55
47;LLYLM;ROSALÍA;28/01/2023;0.555;0.634;-5.522.000;0.273;0.129;0.000;0.555;154;27
175;Locked out of Heaven;Bruno Mars;28/01/2023;0.728;0.697;-4.125.000;0.046;0.056;0.000;0.870;26;62
84;LOKERA;Rauw Alejandro, Lyanno, Brray;28/01/2023;0.836;0.826;-2.660;0.046;0.213;0.000;0.579;117;101
185;Lose Yourself;Eminem;28/01/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;16;120
185;"Lose Yourself - From ""8 Mile"" Soundtrack";Eminem;28/01/2023;0.686;0.735;-4.616.000;0.264;0.009;0.001;0.060;16;103
51;Love Again;The Kid LAROI;28/01/2023;0.662;0.398;-6.691.000;0.028;0.716;0.000;0.468;150;41
111;lovely (with Khalid);Billie Eilish, Khalid;28/01/2023;0.351;0.296;-10.109.000;0.033;0.934;0.000;0.120;90;149
79;Low;SZA;28/01/2023;0.698;0.546;-7.234.000;0.056;0.425;0.003;0.335;122;99
59;Maan Meri Jaan;King;28/01/2023;0.698;0.505;-8.242.000;0.036;0.354;0.000;0.396;142;74
22;Made You Look;Meghan Trainor;28/01/2023;0.838;0.525;-3.562.000;0.067;0.345;0.000;0.884;179;135
72;Marisola - Remix;Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile;28/01/2023;0.765;0.872;-5.863.000;0.050;0.173;0.000;0.722;129;99
28;Me Porto Bonito;Bad Bunny, Chencho Corleone;28/01/2023;0.911;0.712;-5.105.000;0.082;0.090;0.000;0.425;173;149
165;MERCHO;LiL CaKe, Migrantes, Nico Valdi;28/01/2023;0.838;0.790;-1.602.000;0.108;0.431;0.000;0.962;36;122
99;METAMORPHOSIS;INTERWORLD;28/01/2023;0.593;0.641;-12.727.000;0.099;0.426;0.901;0.147;102;148
144;Midnight Rain;Taylor Swift;28/01/2023;0.643;0.363;-11.738.000;0.077;0.690;0.000;0.230;57;83
31;Miss You;Oliver Tree, Robin Schulz;28/01/2023;0.587;0.742;-6.640;0.053;0.013;0.001;0.199;170;97
27;Mockingbird;Eminem;28/01/2023;0.637;0.678;-3.798.000;0.266;0.209;0.000;0.254;174;149
58;Monotonía;Shakira, Ozuna;28/01/2023;0.873;0.695;-4.207.000;0.046;0.419;0.000;0.823;143;81
95;MOONLIGHT SUNRISE;TWICE;28/01/2023;0.747;0.782;-3.255.000;0.062;0.384;0.000;0.600;106;16
121;Moscow Mule;Bad Bunny;28/01/2023;0.804;0.674;-5.453.000;0.033;0.294;0.000;0.292;80;73
150;Muñecas;TINI, La Joaqui, Steve Aoki;28/01/2023;0.681;0.711;-4.790;0.085;0.028;0.000;0.826;51;22
112;Murder In My Mind;Kordhell;28/01/2023;0.712;0.972;-0.514;0.112;0.005;0.000;0.568;89;102
75;Neverita;Bad Bunny;28/01/2023;0.876;0.498;-7.511.000;0.048;0.071;0.000;0.428;126;81
174;Night Changes;One Direction;28/01/2023;0.672;0.520;-7.747.000;0.035;0.859;0.000;0.370;27;149
108;No Role Modelz;J. Cole;28/01/2023;0.690;0.521;-8.492.000;0.339;0.324;0.000;0.494;93;149
82;No Se Va - En Vivo;Grupo Frontera;28/01/2023;0.594;0.527;-9.335.000;0.034;0.121;0.000;0.692;119;110
76;Nobody Gets Me;SZA;28/01/2023;0.358;0.284;-8.285.000;0.029;0.805;0.000;0.276;125;75
68;Nonsense;Sabrina Carpenter;28/01/2023;0.740;0.697;-4.912.000;0.034;0.027;0.000;0.732;133;138
128;Normal;Feid;28/01/2023;0.709;0.560;-4.867.000;0.171;0.034;0.000;0.541;73;147
64;Ojitos Lindos;Bad Bunny, Bomba Estéreo;28/01/2023;0.647;0.686;-5.745.000;0.041;0.080;0.000;0.268;137;149
24;OMG;NewJeans;28/01/2023;0.804;0.771;-4.067.000;0.043;0.357;0.000;0.739;177;148
151;One Kiss (with Dua Lipa);Calvin Harris, Dua Lipa;28/01/2023;0.791;0.862;-3.240;0.110;0.037;0.000;0.592;50;66
191;PANTIES Y BRASIERES;Rauw Alejandro, Daddy Yankee;28/01/2023;0.758;0.888;-2.851.000;0.071;0.340;0.001;0.408;10;2
169;Party In The U.S.A.;Miley Cyrus;28/01/2023;0.652;0.698;-4.667.000;0.042;0.001;0.000;0.470;32;17
96;People;Libianca;28/01/2023;0.573;0.422;-7.621.000;0.068;0.551;0.000;0.693;105;139
110;Perfect;Ed Sheeran;28/01/2023;0.599;0.448;-6.312.000;0.023;0.163;0.000;0.168;91;149
198;Pink Venom;BLACKPINK;28/01/2023;0.693;0.734;-6.189.000;0.202;0.015;0.000;0.708;3;54
81;PLAYA DEL INGLÉS;Quevedo, Myke Towers;28/01/2023;0.793;0.736;-3.254.000;0.047;0.082;0.000;0.656;120;97
90;Players;Coi Leray;28/01/2023;0.954;0.516;-5.817.000;0.160;0.030;0.000;0.624;111;131
54;PRC;Peso Pluma, Natanael Cano;28/01/2023;0.784;0.826;-6.340;0.054;0.097;0.000;0.893;147;125
109;PROVENZA;KAROL G;28/01/2023;0.870;0.516;-8.006.000;0.054;0.656;0.008;0.530;92;149
127;PUNTO 40;Rauw Alejandro, Baby Rasta;28/01/2023;0.857;0.829;-0.484;0.084;0.001;0.015;0.208;74;38
35;PUNTO G;Quevedo;28/01/2023;0.751;0.761;-4.113.000;0.150;0.251;0.000;0.553;166;140
167;Puta Mexica;DJ Jeeh FDC, MC Menor MT, Yuri Redicopa, Mc Pelé;28/01/2023;0.853;0.913;0.963;0.051;0.655;0.024;0.952;34;14
125;Qué Agonía;Yuridia, Ángela Aguilar;28/01/2023;0.732;0.573;-5.733.000;0.024;0.560;0.000;0.882;76;68
43;Que Vuelvas;Carin Leon, Grupo Frontera;28/01/2023;0.491;0.643;-4.309.000;0.044;0.187;0.000;0.779;158;149
14;Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;28/01/2023;0.621;0.782;-5.548.000;0.044;0.013;0.033;0.550;187;149
177;Revenge;XXXTENTACION;28/01/2023;0.746;0.251;-16.169.000;0.259;0.782;0.002;0.180;24;77
26;Rich Flex;Drake, 21 Savage;28/01/2023;0.561;0.520;-9.342.000;0.244;0.050;0.000;0.424;175;149
137;Riptide;Vance Joy;28/01/2023;0.484;0.731;-6.694.000;0.038;0.431;0.000;0.510;64;149
52;Romantic Homicide;d4vd;28/01/2023;0.571;0.544;-10.613.000;0.030;0.453;0.008;0.216;149;149
103;Save Your Tears;The Weeknd;28/01/2023;0.680;0.826;-5.487.000;0.031;0.021;0.000;0.644;98;149
115;Save Your Tears (Remix) (with Ariana Grande);The Weeknd, Ariana Grande;28/01/2023;0.650;0.825;-4.645.000;0.033;0.022;0.000;0.593;86;117
163;Set Fire to the Rain;Adele;28/01/2023;0.603;0.670;-3.882.000;0.025;0.004;0.000;0.446;38;131
160;Sex, Drugs, Etc.;Beach Weather;28/01/2023;0.572;0.839;-5.083.000;0.038;0.013;0.010;0.465;41;69
2;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap, Shakira;28/01/2023;0.778;0.632;-5.600;0.049;0.274;0.000;0.498;199;138
190;Shape of You;Ed Sheeran;28/01/2023;0.825;0.652;-3.183.000;0.080;0.581;0.000;0.931;11;140
88;Shinunoga E-Wa;Fujii Kaze;28/01/2023;0.600;0.760;-6.124.000;0.045;0.166;0.000;0.519;113;73
143;Shirt;SZA;28/01/2023;0.848;0.512;-7.720;0.102;0.228;0.002;0.572;58;60
140;Shivers;Ed Sheeran;28/01/2023;0.788;0.859;-2.724.000;0.086;0.281;0.000;0.822;61;142
145;Shut Down;BLACKPINK;28/01/2023;0.818;0.690;-5.119.000;0.045;0.003;0.000;0.688;56;122
148;Shut up My Moms Calling;Hotel Ugly;28/01/2023;0.485;0.409;-10.711.000;0.101;0.325;0.000;0.376;53;132
57;Snooze;SZA;28/01/2023;0.559;0.551;-7.231.000;0.132;0.141;0.000;0.392;144;146
123;Someone You Loved;Lewis Capaldi;28/01/2023;0.501;0.405;-5.679.000;0.032;0.751;0.000;0.446;78;149
119;Something in the Orange;Zach Bryan;28/01/2023;0.369;0.192;-12.151.000;0.040;0.555;0.000;0.148;82;101
181;Somewhere Only We Know;Keane;28/01/2023;0.448;0.665;-4.203.000;0.026;0.060;0.000;0.304;20;122
45;SP;Rosa Linn;28/01/2023;0.565;0.636;-8.198.000;0.064;0.107;0.000;0.525;156;120
182;Space Song;Beach House;28/01/2023;0.508;0.792;-7.311.000;0.030;0.229;0.124;0.601;19;61
87;SPIT IN MY FACE!;ThxSoMch;28/01/2023;0.730;0.785;-6.512.000;0.055;0.046;0.022;0.649;114;92
107;STAR WALKIN' (League of Legends Worlds Anthem);Lil Nas X;28/01/2023;0.637;0.715;-4.971.000;0.046;0.148;0.000;0.308;94;61
48;Starboy;The Weeknd, Daft Punk;28/01/2023;0.679;0.587;-7.015.000;0.276;0.141;0.000;0.486;153;149
159;Stargirl Interlude;The Weeknd, La Del Rey;28/01/2023;0.715;0.470;-12.638.000;0.077;0.353;0.092;0.426;42;139
37;STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;28/01/2023;0.591;0.764;-5.484.000;0.048;0.038;0.000;0.478;164;149
67;Sugar Rush Ride;TOMORROW X TOGETHER;28/01/2023;0.712;0.893;-3.995.000;0.085;0.008;0.000;0.828;134;13
164;Summertime Sadness;Lana Del Rey;28/01/2023;0.568;0.646;-6.793.000;0.033;0.046;0.000;0.211;37;148
153;Sunroof;Nicky Youre, dazy;28/01/2023;0.768;0.714;-5.110;0.040;0.352;0.000;0.842;48;87
42;Superhero (Heroes & Villains) [with Future & Chris Brown];Metro Boomin, Future, Chris Brown;28/01/2023;0.526;0.606;-5.300;0.259;0.152;0.000;0.492;159;149
142;Superman;Eminem, Dina Rae;28/01/2023;0.802;0.755;-3.138.000;0.056;0.022;0.000;0.580;59;136
17;Sure Thing;Miguel;28/01/2023;0.684;0.607;-8.127.000;0.100;0.027;0.000;0.498;184;149
55;Sweater Weather;The Neighbourhood;28/01/2023;0.612;0.807;-2.810;0.034;0.050;0.018;0.398;146;149
114;Te Felicito;Shakira, Rauw Alejandro;28/01/2023;0.695;0.636;-4.654.000;0.317;0.234;0.000;0.575;87;38
86;The Color Violet;Tory Lanez;28/01/2023;0.645;0.534;-10.800;0.048;0.157;0.000;0.463;115;141
157;The Hills;The Weeknd;28/01/2023;0.585;0.564;-7.063.000;0.052;0.067;0.000;0.137;44;116
132;The Real Slim Shady;Eminem;28/01/2023;0.949;0.661;-4.244.000;0.057;0.030;0.000;0.760;69;147
113;Those Eyes;New West;28/01/2023;0.593;0.352;-8.296.000;0.028;0.695;0.000;0.226;88;149
139;Tinnitus (Wan be a rock);TOMORROW X TOGETHER;28/01/2023;0.900;0.725;-6.213.000;0.135;0.179;0.001;0.791;62;4
36;Tití Me Preguntó;Bad Bunny;28/01/2023;0.650;0.715;-5.198.000;0.253;0.099;0.000;0.187;165;149
189;TV;Billie Eilish;28/01/2023;0.412;0.236;-15.159.000;0.038;0.830;0.007;0.119;12;39
194;ULALA (OOH LA LA);Myke Towers, Daddy Yankee;28/01/2023;0.872;0.681;-4.348.000;0.110;0.046;0.000;0.481;7;5
49;Under The Influence;Chris Brown;28/01/2023;0.733;0.690;-5.529.000;0.043;0.064;0.000;0.310;152;149
5;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;28/01/2023;0.712;0.463;-7.399.000;0.080;0.011;0.000;0.206;196;149
100;Unstoppable;Sia;28/01/2023;0.468;0.779;-4.839.000;0.078;0.112;0.000;0.260;101;149
89;Until I Found You;Stephen Sanchez;28/01/2023;0.346;0.500;-6.097.000;0.039;0.757;0.000;0.191;112;147
32;Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez, Em Beihold;28/01/2023;0.551;0.550;-5.339.000;0.029;0.777;0.000;0.342;169;149
85;VIBE (feat. Jimin of BTS);TAEYANG, Jimin;28/01/2023;0.780;0.683;-5.319.000;0.058;0.080;0.000;0.608;116;34
92;VISTA AL MAR;Quevedo;28/01/2023;0.759;0.561;-5.643.000;0.131;0.803;0.121;0.491;109;76
97;Viva La Vida;Coldplay;28/01/2023;0.486;0.617;-7.115.000;0.029;0.095;0.000;0.417;104;149
129;Watermelon Sugar;Harry Styles;28/01/2023;0.548;0.816;-4.209.000;0.047;0.122;0.000;0.557;72;149
78;When I Was Your Man;Bruno Mars;28/01/2023;0.601;0.271;-8.688.000;0.040;0.937;0.000;0.411;123;148
195;Why'd You Only Call Me When You're High?;Arctic Monkeys;28/01/2023;0.691;0.631;-6.478.000;0.037;0.048;0.000;0.800;6;120
98;Without Me;Eminem;28/01/2023;0.908;0.669;-2.827.000;0.074;0.003;0.000;0.662;103;149
184;WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1;TWISTED, Oliver Tree;28/01/2023;0.604;0.601;-7.887.000;0.063;0.150;0.001;0.156;17;33
10;Yandel 150;Yandel, Feid;28/01/2023;0.783;0.729;-3.549.000;0.069;0.049;0.000;0.580;191;146
122;Yellow;Coldplay;28/01/2023;0.429;0.661;-7.227.000;0.028;0.002;0.000;0.285;79;149
47;10:35;Tiësto, Tate McRae;27/01/2023;0.696;0.793;-5.733.000;0.097;0.068;0.000;0.698;154;120
95;505;Arctic Monkeys;27/01/2023;0.520;0.852;-5.866.000;0.054;0.002;0.000;0.234;106;149
131;About Damn Time;Lizzo;27/01/2023;0.836;0.743;-6.305.000;0.065;0.097;0.000;0.723;70;66
183;After Dark;Mr.Kitty;27/01/2023;0.578;0.600;-10.491.000;0.032;0.068;0.417;0.039;18;38
150;AHORA QUÉ;Quevedo;27/01/2023;0.447;0.765;-5.457.000;0.094;0.212;0.000;0.542;51;11
51;AMG;Natanael Cano, Peso Pluma, Gabito Ballesteros;27/01/2023;0.772;0.730;-6.657.000;0.097;0.152;0.000;0.786;150;144
22;Another Love;Tom Odell;27/01/2023;0.442;0.538;-8.550;0.045;0.717;0.000;0.139;179;149
115;ANTIFRAGILE;LE SSERAFIM;27/01/2023;0.882;0.797;-3.299.000;0.082;0.082;0.000;0.824;86;63
